,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song name
145,0.563,0.713,11,-5.961,0,0.0535,0.0105,0.0,0.16,0.175,119.935,audio_features,6PoR04VZAFYE4xY3MxLuq4,spotify:track:6PoR04VZAFYE4xY3MxLuq4,https://api.spotify.com/v1/tracks/6PoR04VZAFYE4xY3MxLuq4,https://api.spotify.com/v1/audio-analysis/6PoR04VZAFYE4xY3MxLuq4,211787,4,Celine Dion,Flying On My Own
146,0.288,0.225,5,-12.835,1,0.037,0.93,4.47e-05,0.1,0.0611,86.929,audio_features,4rP6OGwnsIRVH8YrGIjgTu,spotify:track:4rP6OGwnsIRVH8YrGIjgTu,https://api.spotify.com/v1/tracks/4rP6OGwnsIRVH8YrGIjgTu,https://api.spotify.com/v1/audio-analysis/4rP6OGwnsIRVH8YrGIjgTu,221200,4,Celine Dion,A Mother's Prayer
147,0.262,0.19,7,-12.314,1,0.0335,0.891,0.000239,0.107,0.0654,79.456,audio_features,7v6DvsyQHmsQQhmVDmrnZg,spotify:track:7v6DvsyQHmsQQhmVDmrnZg,https://api.spotify.com/v1/tracks/7v6DvsyQHmsQQhmVDmrnZg,https://api.spotify.com/v1/audio-analysis/7v6DvsyQHmsQQhmVDmrnZg,295973,3,Celine Dion,Ave Maria
148,0.19,0.241,8,-13.251,1,0.0322,0.577,0.0,0.0952,0.107,68.353,audio_features,5kqmgfPEUWtDGWOvop4sP2,spotify:track:5kqmgfPEUWtDGWOvop4sP2,https://api.spotify.com/v1/tracks/5kqmgfPEUWtDGWOvop4sP2,https://api.spotify.com/v1/audio-analysis/5kqmgfPEUWtDGWOvop4sP2,260827,4,Celine Dion,"When I Fall In Love (feat. Clive Griffin) - from the TriStar film, Sleepless In Seattle"
149,0.488,0.673,7,-5.743,1,0.0495,0.128,0.0,0.398,0.479,146.197,audio_features,1YUOlePfiz9kxJRuwECzjn,spotify:track:1YUOlePfiz9kxJRuwECzjn,https://api.spotify.com/v1/tracks/1YUOlePfiz9kxJRuwECzjn,https://api.spotify.com/v1/audio-analysis/1YUOlePfiz9kxJRuwECzjn,230240,4,Celine Dion,Loved Me Back to Life
150,0.555,0.343,7,-10.556,0,0.0289,0.463,7.13e-05,0.138,0.157,124.879,audio_features,1gVX2sJy1oFzylg4Ew3F2X,spotify:track:1gVX2sJy1oFzylg4Ew3F2X,https://api.spotify.com/v1/tracks/1gVX2sJy1oFzylg4Ew3F2X,https://api.spotify.com/v1/audio-analysis/1gVX2sJy1oFzylg4Ew3F2X,312400,4,Celine Dion,Let's Talk About Love
151,0.604,0.963,7,-5.572,1,0.0906,0.273,6.62e-06,0.374,0.695,174.718,audio_features,17LZKLjQxH2w67xMa8mWML,spotify:track:17LZKLjQxH2w67xMa8mWML,https://api.spotify.com/v1/tracks/17LZKLjQxH2w67xMa8mWML,https://api.spotify.com/v1/audio-analysis/17LZKLjQxH2w67xMa8mWML,205800,4,Celine Dion,J'irai où tu iras (with Jean-Jacques Goldman)
152,0.764,0.527,8,-7.871,0,0.0441,0.315,3.72e-06,0.0793,0.224,103.028,audio_features,51yjUe42smRbgWvg9i9pFa,spotify:track:51yjUe42smRbgWvg9i9pFa,https://api.spotify.com/v1/tracks/51yjUe42smRbgWvg9i9pFa,https://api.spotify.com/v1/audio-analysis/51yjUe42smRbgWvg9i9pFa,263440,4,Celine Dion,Encore un soir
153,0.338,0.103,1,-21.472,0,0.0315,0.798,0.00129,0.124,0.04,98.531,audio_features,42lyCSXzWizBfGmqE1Silk,spotify:track:42lyCSXzWizBfGmqE1Silk,https://api.spotify.com/v1/tracks/42lyCSXzWizBfGmqE1Silk,https://api.spotify.com/v1/audio-analysis/42lyCSXzWizBfGmqE1Silk,310733,4,Celine Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
154,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695,4,Adele,Easy On Me
155,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,audio_features,3Kkjo3cT83cw09VJyrLNwX,spotify:track:3Kkjo3cT83cw09VJyrLNwX,https://api.spotify.com/v1/tracks/3Kkjo3cT83cw09VJyrLNwX,https://api.spotify.com/v1/audio-analysis/3Kkjo3cT83cw09VJyrLNwX,225149,4,Adele,Oh My God
156,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,1zwMYTA5nlNjZxYrvBB2pV,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240,4,Adele,Someone Like You
157,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,audio_features,1c8gk2PeTE04A1pIDH9YMk,spotify:track:1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/tracks/1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/audio-analysis/1c8gk2PeTE04A1pIDH9YMk,228093,4,Adele,Rolling in the Deep
158,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,46IZ0fSY2mpAiktS3KOqds,spotify:track:46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695,4,Adele,Easy On Me
159,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,audio_features,7GgWAITsYJaRM3r50rfh5w,spotify:track:7GgWAITsYJaRM3r50rfh5w,https://api.spotify.com/v1/tracks/7GgWAITsYJaRM3r50rfh5w,https://api.spotify.com/v1/audio-analysis/7GgWAITsYJaRM3r50rfh5w,290900,4,Adele,When We Were Young
